poem_name,poet_name,poem_text,rank
Aşkta Yarın Yoktur Sevgili,Cezmi Ersöz,"Aşk bu dünyanın ölçüleriyle açıklanamaz sevgili. O ilkel bir acıdır, yaban bir ağrıdır. Gelir  ve içimizdeki o çok eski bir şeye dokunur. Sonra bir perde açılır ve yolculuk başlar. Bu yolculukta artık para, tarifeler, beklentiler, randevular, taksitler, iş, anneler ve korkular yoktur. Aşkın kendi gerçekliği vardır sevgili. İnsan bir başka ışığa teslim olur...
    Aşkta yarın yoktur sevgili. Zaman ileri doğru değil, içeri, yüreklere, derinlere doğru işlemeye başlar, bilgeleşir. Hiç bilmediği sezgileriyle buluşur. Yükü çok ağırdır, kendiyle buluşmuştur. Hem dışındadır dünyanın, hem de ortasında.
    Hindistan'da Ganj Nehri'nin kıyısında yakılan yoksul adamın hissettikleri de onunladır, yitirdikleri de... Newyork'ta, bir sokakta, o kartondan kulübesinde yaşayan kadının çıplak yalnızlığı da. Her şey onunladır, ona emanettir sanki, ama o, çıldırtıcı bir yalnızlık içindedir yine de...
    Aşkın kültürlü olmakla, bilgili olmakla da ilgisi yoktur sevgili, kanımıza karışan ilkel acı, o yaban ağrıyla hiçbir kitabın yazmadığı hakikatlere daha yakınızdır, inan...
    Kim demişti hatırlamıyorum, aşk varlığın değil, yokluğun acısıdır diye. Belki de bu yüzden ilk gençliğimde, o yoğun aşık olduğum yıllarda, gözüme uyku girmez, dudağımda bir ıslıkla bütün gece şehri, o karanlık, o hüzünlü sokakları dolaşır, insanları uykularından uyandırmak isterdim. Uyanıp, içimde derin bir sızıyla uyanan o derin sancının acısına ortak olsunlar diye...
    Aşk çok eski bir şeydir sevgili. Onun içinden o çileli çocukluğumuz geçer. Sevdiğimiz insanların çocuklukları da... Oradan üvey anneler, eksik babalar, parasız yatılılar geçer. Ve sonra aşk bütün bunları alır, daha da eskilere gider, hep o ilkel acıya, o yaban ağrıya...
    İnsan bazen nedensiz yere umutsuzluğa kapılır. Kimselere veremez sevgisini, kimselere kendini anlatamaz, evlere kapanır... Bazen denizler, kıyılar çeker insanı. İnsan bu kapılmayı anlayamaz, oysa çok eski bir yerde yaşanmasından korkulup vazgeçilmez aşkların sızısıdır bu. Bu sızı, bu yenilgi mevsimlerle yıllarla devredilir başka insanlara... Bir insanın yaptığı bir hatanın tüm insanlara yayılması gibi...
    İşte şimdi biz de sevgili, ya olmadık zamanlarda umutsuzluğa kapılıp, soluğu evlerde alacağız, ya da denizler, kıyılar çekecek bizi. Nasıl biz başkalarının korkaklığını taşıyorsak, başkaları da bizim korkaklığımızı taşıyacak, yenilgimizi, umutsuzluğumuzu...
    Birazdan sabah olacak...
    Para, tarifeler, beklentiler, randevular, taksitler, iş, anneler ve korkular başlayacak... Bunlar varsa ve bizim için geçerliyse aşk yoktur ve hiç olmamıştır sevgili. Birbirimizi kandırmayalım...
    Hadi güne hazırlan. Yaşadıklarımızı unutmaya çalış. Aşk bize güvenip verdiği büyüsünü, sırlarını, cesaretini, bilgeliğini ve o ilkel, o yaban ağrısını geri alacak. Bunlar olurken içimiz bir an çok üşüyecek, sonra geçecek...
    Hadi, oyalanma birazdan yarın olacak...
    Aşkta yarın yoktur sevgili...",85
Ayrılık,Sunay Akın,"İki rayı gibiyiz
bir tren yolunun
yakın olması
neyi değiştirir
son istasyonun",86
Aşk Çocuğu,Can Yücel,"Pencerelerin kenarından
Sarkmış tül perdeleri
Pembe Evin
Uçup uçup yüz sürüyorlar
Karşı tepedeki manastırın selvilerine
Rüzgârla eğilip doğruldukça
Sardunyalar, biberiyeler, 
Hiç korkma
Karada ölüm yok oğlum sana bugün
Leylekler daldı birden göğün acentasına
Gidip-gelme almak üzere Güneye hicret
Sen de gel diyorlar kanatlarıyla, 
El sallıyorum ben de yattığım yerden
Leyleklere Leylim-Leylim
Diye diye 
Güneşle karışık bir esinti geçiyor şakağımdan
Uzatıyorum elimi denizden yeni çıkmış senin serinliğine, 
Göğsümün, karnımın, kasıklarımın, bacaklarımın
Tüyleri kamaşıyor sevinçten
Uyanıyoruz sonra
Dizine yatırıp beni çingene benlerimi sıkıyorsun
Gümüşlü zurnası dikiliyor havaya çeribaşının
Işıklar bir bahriye çiftetellisi çalıyor yüzümde
Hay allah
Yine tutuldum galiba
Derken bir aşk çocuğu doğuyor
Çırpınan denizin karnından
Bu şiir
Ağlarken gülüyor
Ve ağlıyor gülerek
Tuzlu damlalarıyla güneşin, 
Sözcükler yanıp yanıp sönerken
Körpecik teninde
Uzaylardan aparttığım yıldız bitleriyle.",87
Rindlerin Akşamı,Yahya Kemal Beyatlı,"Dönülmez akşamın ufkundayız.Vakit çok geç; 
Bu son fasıldır ey ömrüm nasıl geçersen geç! 
Cihana bir daha gelmek hayal edilse bile,....................",88
Nerdesin,Ahmet Kutsi Tecer,"Geceleyin bir ses böler uykumu,
İçim ürpermeyle dolar: - Nerdesin? 
Arıyorum yıllar var ki, ben onu,
Aşıkıyım beni çağıran bu sesin.
Gün olur sürüyüp beni derbeder,
Bu ses rüzgarlara karışır gider.
Gün olur peşimden yürür beraber,
Ansızın haykırır bana: -Nerdesin? 
Bütün sevgileri atıp içimden,
Varlığımı yalnız ona verdim ben.
Elverir ki bir gün bana derinden,
Ta derinden bir gün bana ''Gel'' desin.",89
Elif,Karacaoğlan,"İncecikten bir kar yağar, 
Tozar Elif, Elif deyi...
Deli gönül abdal olmuş, 
Gezer Elif, Elif deyi...
Elif’in uğru nakışlı, 
Yavrı balaban bakışlı, 
Yayla çiçeği kokuşlu, 
Kokar Elif, Elif deyi...
Elif kaşlarını çatar, 
Gamzesi sineme batar.
Ak elleri kalem tutar, 
Yazar Elif, Elif deyi...
Evlerinin önü çardak, 
Elif'in elinde bardak, 
Sanki yeşil başlı ördek 
Yüzer Elif, Elif deyi...
Karac'oğlan eğmelerin, 
Gönül sevmez değmelerin, 
İliklemiş düğmelerin, 
Çözer Elif, Elif deyi...",90
Kavuşmak,Necip Fazıl Kısakürek,"Ne görsem, ötesinde hasret çektiğim diyar; 
Kavuşmak nasıl olmaz, mademki ayrılık var?",91
Hazan Bahçeleri,Yahya Kemal Beyatlı,"Kalbim yine üzgün, seni andım da derinden
Geçtim yine dün eski hazan bahçelerinden
Yorgun ve kırılmı....................",92
Allah Derim,Necip Fazıl Kısakürek,"Sırtımda, taşınmaz yükü göklerin;
Herkes koşar, zıplar, ben yürüyemem!
İsterseniz hayat aşını verin;
Sayılı nimetler bal olsa yemem!
Ey akıl, nasıl delinmez küfen?
Ebedi oluşun urbası kefen!
Kursa da boşluğa asma köprü, fen,
Allah derim, başka hiçbir şey demem!",93
Anneme Mektup,Necip Fazıl Kısakürek,"Ben bu gurbet ile düştüm düşeli, 
Her gün biraz daha süzülmekteyim. 
Her gece, içinde mermer döşeli, 
Bir soğuk yatakta büzülmekteyim. 
Böylece bir lâhza kaldığım zaman, 
Geceyi koynuma aldığım zaman, 
Gözlerim kapanıp daldığım zaman, 
Yeniden yollara düzülmekteyim. 
Son günüm yaklaştı görünesiye, 
Kalmadı bir adım yol ileriye; 
Yüzünü görmeden ölürsem diye, 
Üzülmekteyim ben, üzülmekteyim",94
Aman!,Necip Fazıl Kısakürek,"Aman efendim, aman! 
Galiba Âhir Zaman! 
Manzarası yurdumun,
Tufan gününden yaman! 
Göz görmez aydınlıkta; 
Asümanedek duman.
Yer dumanmış ne çıkar,
Duman dolu âsüman.
Türk evi delik deşik; 
Yıkı dökük hânüman.
Duraksız itiş kakış; 
Süresiz karman-çorman.
Anne çocuk doğurur,
Köpek soyundan azman.
Beyinler zıpzıp kadar,
Mideler koskocaman.
Aziz fikir buğdayı,
Katıra mahsus saman.
Boş lâf, hep dalga dalga; 
Uçsuz bucaksız umman.
Hayvanlık orkestrası:
Eşek, birinci keman.
Orman keleş, nebat kel; 
Nebat adamlar orman.
Midelerde ihracat,
Günde beş milyon batman.
Milli servet matbaa,
Bilmem kaç milyar harman.
Yangın evinde satranç; 
Plân, reform ve uzman.
Tam bir buçuk asırdır,
Maymunlardan eleman.
Bizdeki hale nispet
Maymun taklitten pişman.
Hangi yol Türke uygun,
Hangi parti tercüman? 
Çıkamaz meydanlara; 
Camide mahpus iman! 
Silah küfrün belinde,
Küfrün elinde, ferman.
Cehle sorarsan ilim; 
Zehre sorarsan, derman.
Rahmet, meçhul kelime; 
Bilinmez isim, Rahmân.
Kutsal kitaptır fuhuş; 
Ahlâk, okunmaz roman.
Tarih, kontra gerçeğe; 
Hürriyet hakka düşman.
Millete kasdedenin
İsmi milli kahraman.
Yere batsın bu dünya,
Bu dünyadan hayr uman! 
Genç adam, at yorganı! 
Sana haram, uyuman! 
Aman, efendim aman! 
Efendim, aman, aman!",95
Boşuna,Aziz Nesin,"Sen yoksun 
Boşuna yağıyor yağmur 
Birlikte ıslanmayacağız ki...
Boşuna bu nehir 
Çırpınıp pırpırlanması 
....................",96
27 Nolu Rubai,Ömer Hayyam,"27
Tanrım; bu güzel yüze vermişsin emek,
O sümbülü koklamak, saçın' ellemek.
Sonra da ona bakma, dersen, anlamı:
Dolu kadehi ters tut, hiç dökme demek!",97
Akşam Erken İner Mahpusaneye,Ahmed Arif,"Akşam erken iner mahpusaneye.
Ejderha olsan kar etmez.
Ne kavgada ustalığın,
Ne de çatal yürek civan oluşun.
Kar etmez inceden içine dolan,
Alıp götüren hasrete.
Akşam erken iner mahpusaneye.
İner, yedi kol demiri,
Yedi kapıya.
Birden, ağlamaklı olur bahçe.
Karşıda, duvar dibinde,
Üç dal ....................",98
Açık Dilekçe,Abdurrahim Karakoç,"Görmediğim bir bambaşka durum var 
Sizin şehrin kızlarında savcı bey! 
Yaklaşanı tâ yürekten vururlar 
Kan kokuyor gözlerinde savcı bey! 
Gayeleri gönül kırmak dal gibi 
Bakışları çifte faul bal gibi 
Ülkeler fethetmiş bir kral gibi 
Gurur dolu pozlarında savcı bey! 
Kaş yaparken, göz çıkarır elleri
Çok silâhtan tesirlidir dilleri 
Hayret ettim, bir tuhaf ki hâlleri, 
Poyraz eser yüzlerinde savcı bey! 
Derviş olup çıktım tığsız, tebersiz 
İlk görüşte avladılar habersiz 
Pişirdiler beni tuzsuz, bibersiz 
Kebap oldum közlerinde savcı bey!
Bölüştüler gönlüm ile aklımı 
Davacıyım, ara benim hakkımı... 
Bir yol göster, haksız mıyım, haklı mı? 
Yorulmayım izlerinde savcı bey.",99
Allah Ve İnsan,Necip Fazıl Kısakürek,"Seni aramam için beni uzağa attın! 
                     Alemi benim, beni kendin için yarattın!",100
Allah'ın Sevgilisi,Necip Fazıl Kısakürek,"Düşünüyorum: O'ndan evvel zaman var mıydı? 
Hakikatler, boşluğa bakan aynalar mıydı?",101
Öpmek,Necip Fazıl Kısakürek,"Ellerime uzanan dudaktan tepeyim; 
Allah diyen seni gel ayağından öpeyim!",102
Kime Sordumsa Seni,Neyzen Tevfik,"Kime sordumsa seni doğru cevap vermediler; 
Kimi alçak, kimi hırsız, kimi deyyus! dediler...
Künyeni almak için, partiye ettim telefon:
Bizdeki kayda göre, şimdi o mebus dediler! ..",103
Bir Ayrılık Bir Yoksulluk,Karacaoğlan,"Vara vara vardım ol kara taşa
Hasret ettin beni kavim kardaşa
Sebep ne gözden akan kanlı yaşa
Bir ayrılık bir yoksulluk bir ölüm 
Nice sultanları tahttan indirdi
Nicesinin gül benzini soldurdu
Nicelerin gelmez yola gönderdi
Bir ayrılık bir yoksulluk bir ölüm 
Karacoğlan der ki kondum göçülmez
Acıdır ecel şerbeti içilmez
Üç derdim var birbirinden seçilmez
Bir ayrılık bir yoksulluk bir ölüm",104
"Canım, Sevdiğim, Yüreğim",Yılmaz Güney,"Bu duvarlar yetmiyor bizi ayırmaya bilesin...
Bu parmaklıklar, bu demir kapılar, bu hava, inan...
Bazen bir yumrukta yıkacak kadar güçlü, 
Bazen bir serçe kadar güçsüzsem, bir nedeni vardır...
Hangi zorluğu yenmemiş insanoğlu.
Hele taşıyorsa içinde bu insanca sevgiyi.
Güzel günler zorlu duraklardan geçer sevdiğim.
Damla damla birikiyor insan. 
Damla damla sevgili...
Bir gün akıp gideceğiz hayata...
Duvarlar yıkılacak, açılacak bütün kapılar bilesin.
Benim yüreğim sensin şimdi, seni vurur durur...
Ve yine damla damla çoğalıyorsun içimde.",105
Anlamak,Necip Fazıl Kısakürek,"Anlamak yok çocuğum, anlar gibi olmak var; 
Akıl için son tavır, saçlarını yolmak var..",106
Ağzımı Dikseler,Necip Fazıl Kısakürek,"Tel tel ve iplik iplik dikseler de ağzımı; 
Tek ses duysalar; Allah... Yoklayanlar nabzımı.
 1973",107
Çocuk Ve Hüzün,Sunay Akın,"I 
Ne zaman bir çocuk ölse 
gözü evlerinde 
annesinin kavurduğu 
helvada 
kalır 
II 
Yoksul bir çocuk görsem 
yağmur altında üşüyen 
köprü olmak geçer 
hiç değilse 
içimden 
III 
Her akşamüstü oyuncakçı 
camekanından 
çocuk ellerinin 
izlerini 
siler",108
Ayrılık Sevdaya Dahil 2,Attila İlhan,"yalnızlık
hızla alçalan bulutlar
              karanlık bir ağırlık 
hava ağır toprak ağır yaprak ağır
su tozları yağıyor üstümüze
özgürlüğümüz yoksa yalnızlığımız mıdır
              eflatuna çalar puslu lacivert
                       bir sis kuşattı ormanı
....................",109
Akıl,Necip Fazıl Kısakürek,"Akıl akıl olsaydı adı gönül olurdu
Gönül gönlü bulsaydı bozkırlar gül olurdu..",110
Ayak Sesleri,Necip Fazıl Kısakürek,"Hep bu ayak sesleri, hep bu ayak sesleri, 
                            Dolaşıyor dışarıda, gün batışından beri, 
                            Bu sesler dokunuyor en ağrıyan yerime, 
                            Bir eski çıban gibi işliyor içerime, 
                            Ey şimdi kara haber gibi bana yaklaşan, 
                            Sonra saadet olup yanımdan uzaklaşan, 
                            Sesler, ayak sesleri kesilmez çıtırdılar! 
                            Bana gelen müjdeyi galiba caydırdılar, 
                            Böyle adım atarlar, ayrılanlar eşinden, 
                            Böyle yürür, gidenler, bir tabutun peşinden, 
                            Kimsesiz gecelerim, bu kesik sesle doldu, 
                            Artık, atan kalbimde bir ayak sesi oldu
                            Bir gün, sönük göğsüme düştüğü vakit başım
                            Benden ayrılıyormuş gibi bir can yoldaşım, 
                            Gittikçe uzaklaşan bu sesi duya duya, 
                            Yavaşça dalacağım, o kalkılmaz uykuya",111
Bırakıp Gittin Beni,Louis Aragon,"bırakıp gittin beni bütün kapılarda
bütün çöllerde tek başıma kodun
şafakta arayıp öğle vakti yitirdiğim
vardığım hiç bir yerde değildin
sensiz bir odanın sahrasını nasıl anlatsam
hiçbir şeyin seni andırmadığı bir pazar kalabalığını
denizde dalgakırandan da boş boşluğunu bir günün
seslenip de senden cevap alamadığım sessizliği
bırakıp gittin beni kalarak olduğun yerde hareketsiz
her yerde bırakıp gittin beni gözlerinle
düşlerin yüreğiyle bırakıp gittin beni
yarım kalmış bir cümle gibi bırakıp gittin
düşen hep ben oldum en küçük kımıldanışında senden
başını çevirdiğin için ağladığımı görmedin hiç
bana bakıp görmediğin için 
ben yokken içini çektiğin için
ayağına düşen gölgene acıdın mı hiç sen",112
1 Nolu Rubai,Ömer Hayyam,"1
Dünyayı süslediler, bir şey kalmadan.
Bu süslere inanma, akıl olmadan.
Giden de çok dünyadan, gelen de ama; 
Sen payını al ondan, seni almadan!",113
Artık İlgilenmiyorum Seninle,Nurullah Genç,"Bunca yıkılmış dağlar üstüne
Kalbimin kanını buharlaştırdı gözlerin
Oysa kaç güvercin havalanmıştı içimden
Konarak pervazlarına gülüşlerinin
Kaç mermi sıyırmıştı ruhumu
Acımasız yürüyüşlerinin mevzilerinde
Dayanmıştım
Ağlamıştım saatlerce parçalanan düşlerime
Ta ki sevgilim
Kızaran bir gök bulutu
Ölümü
Bir yıldırımla düşürdüğün ana değin
Kalbimin haritasına
Artık ilgilenmiyorum seninle
Demiştin barut kokan kelimelerle
Demiştin de hayat ölü bir bıldırcın gibi
Tutuşup yanmıştı yanan bir tahta içinde 
Tarla küllerle dolu, ortasında yumurta
Çatladıkça yeniden doğuruyor kanımdan 
Fışkıran harflerle kalbim olan cümleyi: 
Ben ancak bir tarih kitabı kadar
İlgileniyorum seninle...",114
Aynadaki Halime,Necip Fazıl Kısakürek,"Akmayan yaşlarla sıcacık yüzün; 
yavrum, bugün seni pek üzgün gördüm.
Gözünde bir küçük noktadır hüzün,
Neşeni ne bugün, ne de dün gördüm.
Eğri dallar gibi halsiz, yorgunsun,
Birikmiş sulardan daha durgunsun,
Görünmez bıçakla içten vurgunsun,
Seni öz yurdunda bir sürgün gördüm.
Geçti bir cenaze peşinde ömrüm; 
Bilemem, vardığın neresi, bugün? 
Her gün yürüdüğün kadar yürüdün,
Arkasından kendi ölünün; gördüm.",115
Babadan Oğula,Necip Fazıl Kısakürek,"Eve dönmez bir akşam;
Ve gün yüzlü çocuğu,
Sorar: Nerede babam?
Bakarlar, oldu, bitti;
Gelir, derler çocuğa,
Baban attaya gitti.
Uzar gider bu atta;
Ve neler neler olmaz
Ve kim bilir ve hatta;
Bir mahşer gerisinde;
Babası döner bir gün,
Oğlunun derisinde...",116
Yalnız İnsan,Louis Aragon,"Yalnız insan merdivendir
Hiçbir yere ulaşmayan
Sürülür yabancı diye
Dayandığı kapılardan
Yalnız insan deli rüzgar
Ne zevk alır ne haz verir
Dokunduğu küldür uçar
Sunduğu tozdur silinir
Yalnız insan yokki yüzü
Yağmur çarpan bir camekan
Ve gözünden sızan yaşlar
Bir parçadır manzaradan
Yalnız insan kayıp mektup
Adresimi yanlış nedir
Sevgiler der fırlatılır
Kimbilir kim tarafından",117
Ben İçeri Düştüğümden Beri,Nazım Hikmet Ran,"Ben içeri düştüğümden beri güneşin etrafında on kere döndü dünya
Ona sorarsanız: ’Lafı bile edilemez, mikroskopik bi zaman...’
Bana sorarsanız: ‘On senesi ömrümün...’
Bir kurşun kallemim vardı, ben içeri düştüğüm sene 
Bir haftada yaza yaza tükeniverdi
Ona sorarsanız: ’Bütün bi hayat...’
Bana sorarsanız: ‘Adam sende bi hafta...’
Katillikten yatan Osman; ben içeri düştüğümden beri 
Yedibuçuğu doldurup çıktı.
Dolaştı dışarda bi vakit, 
Sonra kaçakçılıktan tekrar düştü içeri, altı ayı doldurup çıktı tekrar.
Dün mektubu geldi; evlenmiş, bi çocuğu olacakmış bah....................",118
Ağlayan Çocuklar,Necip Fazıl Kısakürek,"Kafesli evlerde ağlar çocuklar,
Odalarda akşam olurken henüz.
O zaman gözümün önünde parlar,
Buruşuk buruşuk, ağlayan bir yüz.
Ne vakit karanlık kaplasa yeri,
Başlar çocukların büyük kederi; 
Bakınır, korkuyla dolu gözleri:
Ya artık bir daha olmazsa gündüz? 
Gittikçe kesilir derken sedalar,
Gece; bir siyah el gözümü bağlar; 
Duyarım, içime sığınmış, ağlar,
Bir ufacık çocuk, bir küçük öksüz...
1924",119
Allah Diyene,Necip Fazıl Kısakürek,"Her şey, her şey şu tek müjdede; 
Yoktur ölüm, Allah diyene
Canım kurban, başı secdede, 
İki büklüm, Allah diyene
Akıl, kırık kanadı hiçin; 
Derdi gücü 'nasıl' ve 'niçin'...
Bağlı, perçin üstüne perçin, 
Benim gönlüm Allah diyene...",120
Aşklar İçinde,Edip Cansever,"Denizin en az yeri bir köpüğü başlatıyor 
Yürüyorum kumların çakılların yanı sıra 
Yüreğimde bir sancı keskin bir akasya kokusundan 
Avuçlarımda bir yanma 
Büyüyen bir ürpertiyim sanki, kayıp gidiyorum üstünde sabahın 
Oldu olacak 
Eğilip bir taş alıyorum yerden, fırlatıyorum denize 
Ufacık bir gülüş geçiyor suyun üzerinden 
Bir çocuğun gülüşü gibi 
Aşkların, nice aşkların ayrılık günü gibi 
Bir sokağın ucunda kaybolup solan 
Daha çok solan, aşkların solgunluğu suyun üzerinde 
Korularda yoğun bir erguvan sisi. 
Hisarlı balıkçı ağlarını ayıklıyor 
Ağları pembeden hüzne giden 
Dip sularında mercanlar gibi koyulasan 
Kirpiksiz gözleri böyle daha güzel 
Çil basmış yüzünü bütün 
Parmakları capcanlı, pavuryalar gibi 
Merhaba, desem bir kucak balık atacak önüme 
Biliyorum atacak 
Böyledir memleketimin yoksul halkı
Bir onlarda rastladım bu cömertliğe 
Istavritler kıpır kıpır dibinde sandalının 
Balık dedin mi, oynamaz gözleri hiçbirinin, tertemiz bir resim gibi 
bakarlar insana 
Günlerce bakarlar, bıraksan yıllarca bakarlar belki 
Gözlerin gibi senin, yıllardır unutamadığım 
Ve bu yüzden olacak düşünmedim şimdiye kadar bir balığın ölebileceğini. 
Hızar sesleri geliyor yakından, güneşin döndüğünü görüyorum 
Çınar yapraklarının arasında yeşil yeşil 
Yeşille sarı birlikte dönüyor 
Denize düşüyorlar kırıla kırıla 
Bir örtü oluyor düsündüğüm her şey denizin ve asfalt yolun üstünde 
Gözyaşları bir örtü, onurla cesaret bir örtü 
Senin upuzun gövden -kapkara saçlarinla- 
Daha da uzun ş....................",121
Çocuklar Gibi,Sabahattin Ali,"Bende hiç tükenmez bir hayat vardı
Kırlara yayılan ilkbahar gibi
Kalbim hiç durmadan hızla çarpardı
Göğsümün içinde ateş var gibi
Bazı nur içinde, bazı sisteyim
Bazı beni seven bir göğüsteyim
Kah el üstündeydim, kah hapisteydim
Her yere sokulan bir rüzgar gibi
Aşkım iki günlük iptilalardı
Hayatım tükenmez maceralardı
İçimde binlerce istekler vardı
Bir şair, yahut bir hükümdar gibi
Hissedince sana vurulduğumu
Anladım ne kadar yorulduğumu
Sakinleştiğimi, durulduğumu
Denize dökülen bir pınar gibi
Şimdi şiir bence senin yüzündür
Şimdi benim tahtım senin dizindir
Sevgilim, saadet ikimizindir
Göklerden gelen bir yadigar gibi
Sözün şiirlerin mükemmelidir
Senden başkasını seven delidir
Yüzün çiçeklerin en güzelidir
Gözlerin bilinmez bir diyar gibi
Başını göğsüme sakla sevgilim
Güzel saçlarında dolaşsın elim
Bir gün ağlayalım, bir gün gülelim
Sevişen yaramaz çocuklar gibi",122
Allah Dostu 2,Necip Fazıl Kısakürek,"Allah dostu odur ki, nefsine tek pay biçmez; 
Kırk yıl bir ekşi ayran özler de onu içmez.",123
Sevda Üstüne,Bedri Rahmi Eyüboğlu,"Bütün kitapları yakmalı
Sevda üstüne ne söylemişlerse yalandır
Kitaplara göre insan
Karanlıkta yüzüne bin mumluk lamba tutulmuş
Gözleri, yüreği kamaşmış insandır
Aptaldır, hastadır, kahramandır
Bütün kitapları yakmalı
Sevda üstüne ne söylemişlerse ....................",124
Anneme,Necip Fazıl Kısakürek,"Anne girdin düşüme.
Yorganın olsun duam;
Mezarında üşüme.
Anlamam, anlatamam.
Düşen düştü peşime,
Artık vadeler tamam...",125
Akarsuya Bırakılan Mektup,Hasan Hüseyin Korkmazgil,"Gitme, sonbahar oluyorum, sonrası hiç
Ağaçlar bükmesinler n'olursun boyunlarını
Neden akşam oluyorum tren kalkınca
Kırlangıçlar birdenbire çekip gidince
Mendiller sallanınca neden tıkanıyorum
Öyle çok acımasız ki, öyle birdenbire ki
Az önceki çiçekler nasıl da diken diken
Gitme, sonbahar oluyorum, sonrası hiç.
O sularda çimdik, bitti; köprüleri geçtik, bitti
O elmanın tadı orda, o kuş çoktan öttü, bitti
Artık çocuk değiliz, susarak da bir şeyler diyebiliriz
Günler devlet alacağı, yıllar bir kadehçik buzlu rakı
Oyunlar oyuncaksı, oyuncaklar eski şarkı
Kavaklara oklu yürek çizip duran o çakı
Nerde şimdi, nerde şimdi, nerde o kan sarhoşluğu
Gitme, sonbahar oluyorum, sonrası hiç.",126
Unutamadığım,Ahmed Arif,"Açardın,
   Yalnızlığımda
   Mavi ve yeşil,
   Açardın.
   Tavşan kanı, kınalı - berrak.
   Yenerdim acıları, kahpelikleri...     
   Gitmek,
   Gözlerinde gitmek sürgüne.
   Yatmak,
   Gözlerinde yatmak zinda....................",127
Allah Dostu,Necip Fazıl Kısakürek,"Allah dostunu gördüm, bundan altı yıl evvel;
Bir aksamdı ki, zaman, donacak kadar güzel.",128
Ayrılık Şiiri,Sunay Akın,"Her satırı
mendireğe dizili karabatağa benzeyen
bir mektup bırakarak
balıkçı koyundan
sisler içinde uzaklaşan kayık gibi
bir sabah usulca ayrıldın
koynumdan
Bütün yolcularını
boğaz köprüsünün çaldığı
araba vapurunun
boş seferleri
gibi yalnızca rüzgar
gezinir sensiz
yüreğimde
Durgun bir sudur aslında deniz
ki çocukların
acemi oltalarını denedikleri
kuytu bir iskelenin
tahtaları altına yazdığım
ayrılık şiirini okudukça
dalgalanır.",129
Aralık Kapı,Necip Fazıl Kısakürek,"Bu dünya bir kuyu havasız çömlek
                                Daralıyorum! 
Kelime manayı boğan bir gömlek
                                 Paralıyorum! 
ALLAH ismi varken  lügat ne demek
                                 Karalıyorum! 
Kapımı,buyursun diye o melek
                                 Aralıyorum! !",130
Ağa Camii,Nazım Hikmet Ran,"Ağa Camii;
Havsalam almıyordu bu hazin hali önce
Ah, ey zavallı cami, seni böyle görünce
Dertli bir çocuk gibi imanıma bağlandım;
Allahımın ismini daha çok candan andım.
Ne kadar yabancısın böyle sokaklarda sen!
Böyle sokaklarda ki, anası can veri....................",131
Akrostiş,Necip Fazıl Kısakürek,"İhtilal acentası...
Solun tam da ortası.
Moskof ’un oltası..
Eli, zulüm muştası.
Tek ümidi, cuntası
İnkılap, avantası...
Nemrut, onun atası...
Ölüm yolu, rotası..
Namlı servet çantası..
Ünlü küfür softası..
                                      (1968)",132
1 Ekim 1945,Nazım Hikmet Ran,"Dağın üstünde: 
akşam güneşiyle yüklü olan bir bulut var dağın üstünde.
Bugün de: 
s....................",133
Ben Sen O,Nazım Hikmet Ran,"O, yalnız ağaran tanyerini görüyor....................",134
Alarga Gönül,Nazım Hikmet Ran,"Alarga gönül: 
             Demir al...
Kırmızı bir amiral
                         gibi kaptan köprüsüne çık...
Karşında deniz: 
                    kaşı çatık 
                             sana bakan
                     kocaman
                              mavi bir göz...
Alarga gönül, 
                  palamarı çöz...
....................",135
19 Yaşım,Nazım Hikmet Ran,"Benim ilk çocuğum, ilk hocam, ilk yoldaşım
				         19 yaşım	
Sana anam gibi hürmet ediyorum 	
        				         edeceğim
Senin ilk arşınladığın yoldan gidiyorum
				         gideceğim
Benim ilk çocuğum, ilk hocam, ilk yoldaşım
			                      19 yaşım
		*
Çok uzaklarda yuvarlanıyor başım
Oturuyor 19 yaşım
		yatağımın başucunda 
		ellerimin avucunda
		bana diyor ki; 
		- kafamızda getirelim geri
		   o delikanlı günleri cancazım, 
		   o dehşetli güzel günleri...
		*
Köpüklü şahlanışların dönüm yeri..
Dünyanın altıda biri; 
		kan içinde doğuran ana..
İstasyondan istasyona
		yalınayak
		tankları kovalayarak
		açlıkla yarış...
Şarkıların boyu kilometre
		ölümün boyu bir karış...
		*
Kafkas; 
	güneş
Sibirya; 
	kar
Seslenebildiğiniz kadar ses-	
			-lenin
24 saatte 24 saat Lenin
	 	 24 saat Marks
		 24 saat Engels
Yüz dirhem kara ekme....................",136
